timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2022-10-21 00:00:00+00:00,APTUSD,7.517,7.655,7.04,7.289,118,24285,7.292,10,177067596,4653.07380406738,33927.14289273263
2022-10-22 00:00:00+00:00,APTUSD,7.289,7.686,7.059,7.485,108,15931,7.46,39,118839338,3038.9231502996317,22670.38299116547
2022-10-23 00:00:00+00:00,APTUSD,7.485,9.333,7.381,8.891,680,319616,8.074,20,2580319821,61319.4114365398,495082.5372562397
2022-10-24 00:00:00+00:00,APTUSD,8.891,10.083,8.888,9.767,732,167718,9.599,238,1609802556,32224.14314607999,309291.8539817261
2022-10-25 00:00:00+00:00,APTUSD,9.767,9.922,9.254,9.55,429,298191,9.518,3,2837898606,57658.31675798901,548744.1342146804
2022-10-26 00:00:00+00:00,APTUSD,9.55,9.5,8.603,8.752,299,177506,9.095,3,1614252350,34993.80085848935,318071.77175064886
2022-10-27 00:00:00+00:00,APTUSD,8.752,9.27,8.671,9.199,189,41486,9.047,52,375284659,8554.394410325413,77390.0328904533
2022-10-28 00:00:00+00:00,APTUSD,9.199,9.617,8.622,8.712,316,73965,9.224,10,682238836,15288.298696297104,141030.91826971754
2022-10-29 00:00:00+00:00,APTUSD,8.712,8.8,7.939,8.151,195,66336,8.251,297,547292955,13458.615843452659,111041.31029547815
2022-10-30 00:00:00+00:00,APTUSD,8.151,8.351,7.614,7.977,317,112063,7.988,200,895135053,23293.316783078393,186062.26770011827
2022-10-31 00:00:00+00:00,APTUSD,7.977,8.359,7.666,7.802,305,76757,7.891,884,605638762,15887.78664015651,125367.22169330867
2022-11-01 00:00:00+00:00,APTUSD,7.802,8.138,7.728,7.945,146,42166,7.87,49,331843372,8636.577379587772,67971.61698354359
2022-11-02 00:00:00+00:00,APTUSD,7.945,8.3,7.845,8.199,174,44685,8.111,1,362422632,9154.086179201957,74244.63098315288
2022-11-03 00:00:00+00:00,APTUSD,8.199,8.176,7.142,7.3,252,126288,7.66,600,967332728,25856.077041626162,198059.2996014905
2022-11-04 00:00:00+00:00,APTUSD,7.3,7.55,7.2,7.232,140,62927,7.396,688,465389563,12728.295981425423,94137.53701760505
2022-11-05 00:00:00+00:00,APTUSD,7.232,7.75,7.176,7.591,153,50747,7.319,150,371369103,10429.646540070911,76338.06877239473
2022-11-06 00:00:00+00:00,APTUSD,7.591,7.944,7.6,7.679,81,29062,7.687,106,223396286,6187.8347916657085,47565.64292579743
2022-11-07 00:00:00+00:00,APTUSD,7.679,8.215,7.296,7.296,348,120505,7.818,1000,942008312,25563.407111272667,199842.3550984199
2022-11-08 00:00:00+00:00,APTUSD,7.296,7.458,6.785,6.96,395,133328,7.041,200,938706627,27643.533246414758,194636.60369810887
2022-11-09 00:00:00+00:00,APTUSD,6.96,6.998,4.512,5.395,323,115841,6.0,372,694960497,22715.998884676785,136699.24820035102
2022-11-10 00:00:00+00:00,APTUSD,5.395,5.2,3.528,3.893,431,176301,4.079,1622,719052636,29580.377547375738,121156.87467952241
2022-11-11 00:00:00+00:00,APTUSD,3.893,5.43,3.906,5.143,1239,1323169,4.703,33,6222289726,226387.84618612795,1068577.899273539
2022-11-12 00:00:00+00:00,APTUSD,5.143,5.3,4.001,5.124,507,291049,4.862,110,1414860192,49480.56163761007,240614.27251845092
2022-11-13 00:00:00+00:00,APTUSD,5.124,5.139,4.457,4.501,233,120997,4.654,39,563040147,20264.427997638624,94313.75530006016
2022-11-14 00:00:00+00:00,APTUSD,4.501,4.563,4.141,4.214,165,62884,4.312,2,271121018,10452.984169796693,45074.3580733749
2022-11-15 00:00:00+00:00,APTUSD,4.214,4.463,3.8,4.105,181,85546,4.205,1,359642097,14173.270013381823,59628.74666377318
2022-11-16 00:00:00+00:00,APTUSD,4.105,4.7,4.176,4.353,366,112876,4.471,40,504648177,18984.123618452646,84879.38882609743
