timestamp,symbol,open,high,low,close,trades,volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2021-09-30 00:00:00+00:00,DOTUSD,27.292,28.367,26.708,27.158,138,26679,28.012,197,747326767,11220.204911783592,314308.45915043616
2021-10-01 00:00:00+00:00,DOTUSD,27.158,28.835,27.419,28.597,426,36903,28.222,28,1041441941,15983.583628034563,451086.2890353856
2021-10-02 00:00:00+00:00,DOTUSD,28.597,32.326,28.518,32.036,699,46028,30.108,7,1385799207,20961.915270809677,632160.1511790353
2021-10-03 00:00:00+00:00,DOTUSD,32.036,33.341,31.658,32.062,458,29837,32.81,1,978922414,14291.824452085344,468909.16104440374
2021-10-04 00:00:00+00:00,DOTUSD,32.062,32.7,31.38,32.18,394,19931,31.941,1,636612613,9540.219940790583,304738.97117496125
2021-10-05 00:00:00+00:00,DOTUSD,32.18,32.066,30.057,31.127,515,37601,31.087,15,1168883484,18050.328377164988,561173.8256979132
2021-10-06 00:00:00+00:00,DOTUSD,31.127,32.1,30.6,31.497,467,28066,31.398,71,881211873,14038.731147346229,440799.81512515276
2021-10-07 00:00:00+00:00,DOTUSD,31.497,33.027,29.191,32.322,715,45961,30.917,15,1420969772,24206.69071339814,749152.1961785626
2021-10-08 00:00:00+00:00,DOTUSD,32.322,35.344,31.283,33.954,1337,87278,33.793,27,2949337078,47391.0322357741,1601163.3883043553
2021-10-09 00:00:00+00:00,DOTUSD,33.954,34.596,33.118,33.414,851,63408,33.774,96,2141495328,34457.27393696947,1163755.2263078112
2021-10-10 00:00:00+00:00,DOTUSD,33.414,36.962,33.13,36.328,673,32692,35.308,12,1154274074,17915.452854832965,632636.5938888482
2021-10-11 00:00:00+00:00,DOTUSD,36.328,37.4,34.313,34.379,1217,76013,35.468,1,2695976639,41835.01988566982,1483849.4501843723
2021-10-12 00:00:00+00:00,DOTUSD,34.379,36.118,33.273,34.224,3319,185352,34.908,3,6470099841,105911.9564759386,3696924.1819068505
2021-10-13 00:00:00+00:00,DOTUSD,34.224,35.468,32.103,35.213,1614,126066,33.617,76,4237947834,71020.95427245426,2387032.2945604734
2021-10-14 00:00:00+00:00,DOTUSD,35.213,43.238,33.582,41.71,3577,244099,38.634,3,9430376482,137929.8160236445,5335411.067740618
2021-10-15 00:00:00+00:00,DOTUSD,41.71,42.568,39.42,40.788,2468,152530,40.999,62,6253569392,87788.79873036782,3599429.274510341
2021-10-16 00:00:00+00:00,DOTUSD,40.788,44.236,39.534,43.314,2736,160106,41.635,28,6665868459,96770.62747546432,4030981.6703241104
2021-10-17 00:00:00+00:00,DOTUSD,43.314,44.868,41.329,41.979,2452,145760,42.702,31,6224190080,88890.38861846081,3796341.7278007013
2021-10-18 00:00:00+00:00,DOTUSD,41.979,42.909,39.5,42.168,1603,78706,41.308,210,3251177754,47529.488780876214,1963651.6340289062
